Name,Education,Profession,Net_Worth,Networth Unit,Income,Income Unit,Criminal_Cases
RATNESHWAR RAM,12th Pass,Business,255000,2 Lakh,491720,4 Lakh,0
DHARM RAJ SINGH,12th Pass,Ex-Soldier,8653587,86 Lakh,0,0,0
SATISH KUMAR,Post Graduate,Former MLA Pension & Agriculture,14197500,1 Crore,669390,6 Lakh,1
AWADHESH KUMAR,12th Pass,Business,1171728,11 Lakh,448530,4 Lakh,0
OM PRABHA KUMARI,Graduate,Business,17223400,1 Crore,699000,6 Lakh,0
MANO DEVI,Literate,Labour,50000,50 Thousand,0,0,0
VIVEK KUMAR,12th Pass,Cloth Business,207177,2 Lakh,560450,5 Lakh,0
BABY KUMARI,Graduate B.A.,Social Worker & Former Legislator,7159028,71 Lakh,657070,6 Lakh,1
BABLU KUMAR,8th Pass,Social Worker,340000,3 Lakh,0,0,4
HARILAL RAM,Post Graduate,Business,400000,4 Lakh,484320,4 Lakh,0
MADAN SAHNI,Graduate Graduation,Salary from Bihar Legislative Assembly,30573629,3 Crore,3355710,33 Lakh,1
RANVIR SAHANI,12th Pass,Labour,3538200,35 Lakh,0,0,0
BIJENDRA CHAUDHARY,Graduate,"Politics, Social Worker",54851841,5 Crore,6527400,65 Lakh,2
RAVI BHUSHAN GUPTA,Graduate B.A.,Business,2278653,22 Lakh,0,0,0
SANJAY KUMAR CHATURVEDI,10th Pass,Pension,21500000,2 Crore,535340,5 Lakh,0
RAHUL KUMAR SINGH,Post Graduate,Private Teacher,4022000,40 Lakh,0,0,0
VISHWANATH RAM,Graduate,Agriculture,17562625,1 Crore,552570,5 Lakh,0
HARI NARAYAN SINGH,Graduate Gradaute,"Member, Bihar Legislative Assembly Patna",60748739,6 Crore,831270,8 Lakh,0
MAHENDRA RAM,Post Graduate,Mesars Jageshwari Petroleum (Petrol Pump),20420197,2 Crore,926690,9 Lakh,0
PRIYANKA ANAND,12th Pass,Agriculture,1295993,12 Lakh,0,0,0
SARITA DEVI,Graduate Professional,Social Worker,9725914,97 Lakh,508050,5 Lakh,1
RAM CHANDRA PRASAD,Doctorate Ph.D.,"Politics, Social Work",32653306,3 Crore,694110,6 Lakh,2
BIPIN MISTRI,10th Pass,Labour,1522000,15 Lakh,0,0,0
PAWAN TIWARI,10th Pass,Business,3657000,36 Lakh,0,0,0
RENU KUMARI,Doctorate Ph.D,Social Service,53542310,5 Crore,1246060,12 Lakh,2
DUKHI RAM RASIYA,10th Pass,Music,754000,7 Lakh,0,0,0
BHISM PRATAP SINGH,10th Pass,Sanvedak,12693825,1 Crore,1168780,11 Lakh,0
SADAN KUMAR,Graduate Professional,Pvt. Teacher,5684000,56 Lakh,0,0,0
RAMANAND MANDAL,10th Pass,Agriculture,27777500,2 Crore,687800,6 Lakh,1
RAGHUVEER MAHTO,8th Pass,Business,2226000,22 Lakh,0,0,0
MANTOSH KUMAR SINGH,12th Pass,Labour,50000,50 Thousand,0,0,0
REKHA DEVI,5th Pass,Govertmnet Salary Allowance,24899453,2 Crore,577730,5 Lakh,4
SUNITA DEVI,10th Pass,Social Worker,2060000,20 Lakh,0,0,0
RAMEKBAL SINGH,12th Pass,Agriculture,1359000,13 Lakh,597600,5 Lakh,0
DOCTOR SANJEEV KUMAR,Graduate Professional,Business,223281560,22 Crore,6990910,69 Lakh,3
GOVIND KUMAR,Graduate Professional,Medical Services,4453000,44 Lakh,0,0,0
SHASHANT SHEKHAR,Post Graduate,"Social worker, Dairy farm Owner",0,0,1194260,11 Lakh,0
ARUN KUMAR,Post Graduate,Doctor,98872265,9 Crore,1945920,19 Lakh,1
UMESH KUMAR RAM,Graduate,Agriculture,95000,95 Thousand,0,0,0
SUNIL KUMAR SUMAN,12th Pass,"Agriculture, Petrol Pump",43391507,4 Crore,2333930,23 Lakh,2
VALARAM DAS,12th Pass,Labour,1025000,10 Lakh,0,0,0
MURARI MOHAN JHA,Doctorate D.Litt.,"Politics, Social Work, Business",131974960,13 Crore,2407136,24 Lakh,1
RAVI RANJAN KUMAR,Graduate B.Sc.,Social Worker & Youtuber,18392624,1 Crore,1331030,13 Lakh,1
RAHUL KUMAR BASU,Post Graduate,Business,15110000,1 Crore,495780,4 Lakh,0
NIRANJAN ROY,Graduate,Social Work and Agriculture,22379795,2 Crore,600000,6 Lakh,4
KUMAR SANTOSH,Post Graduate,Social Worker,2447585,24 Lakh,0,0,1
RAM CHANDRA SADA,10th Pass,Former MLA,4490500,44 Lakh,0,0,1
VIDYA SAGAR SINGH NISHAD,Graduate,"Pension, Social Service",25703178,2 Crore,692980,6 Lakh,0
PURUSHOTTAM KUMAR,Graduate,Pensioner,6090000,60 Lakh,748674,7 Lakh,2
SUNITA DEVI,10th Pass,NA,4360000,43 Lakh,0,0,1
SATTANAND SAMBUDDHA ALIAS LALAN JEE,Doctorate P.hd.,Agriculture,49323067,4 Crore,550670,5 Lakh,0
SHIV PRAKASH RANJAN,Graduate Professional,Member of Bihar Legislative Assembly (MLA),1809535,18 Lakh,0,0,4
HULAS PANDE,Graduate B.A,"Social Service, Business and Agriculture",205583051,20 Crore,2873830,28 Lakh,2
MRITUNJAY KUMAR,Post Graduate,Doctor,51446625,5 Crore,4122360,41 Lakh,0
SANTOSH KUMAR SINGH,10th Pass,Agriculture,13760000,1 Crore,0,0,0
SIYARAM SINGH,Post Graduate,Business & Agriculture,67936656,6 Crore,2185550,21 Lakh,0
SUNIL KUMAR,12th Pass,Agriculture,13296000,1 Crore,565550,5 Lakh,3
BRAJ KISHORE RAVI,Post Graduate,Pensioner,35344903,3 Crore,2523700,25 Lakh,0
LAKHENDRA KUMAR RAUSHAN,Graduate B.A.,MLA,10871011,1 Crore,731160,7 Lakh,0
REKHA KUMARI,Graduate B.A.,Business,48754480,4 Crore,654980,6 Lakh,1
MALA PUSHPAM,Graduate,"House Wife, Social Work",11594507,1 Crore,673910,6 Lakh,0
REYAZUL HAQUE URF RAJU,Graduate Graduation,"Agriculture, Ex-MLA Pension",50106121,5 Crore,676610,6 Lakh,6
ABHISHEK KUMAR JHA,Post Graduate,Study,9981748,99 Lakh,400000,4 Lakh,8
BRIJ KISHOR GUPTA,Graduate Professional,"Business, Doctor",1550500,15 Lakh,0,0,0
MITHILESH TIWARI,Graduate B.A.,"Ex-MLA, Bihar Vidhan Sabha",25393112,2 Crore,511640,5 Lakh,2
HEM NARAYAN SAH,12th Pass,Business and Politics,74786340,7 Crore,678260,6 Lakh,1
BINAY KUMAR CHOUDHARY,Doctorate Ph.D.,Service (Professor),26084981,2 Crore,5516120,55 Lakh,0
MURARI KUMAR,12th Pass,Private Teacher,2285000,22 Lakh,0,0,2
SURENDRA MEHTA,12th Pass,MLA & Politics,8778101,87 Lakh,0,0,0
RAHUL TIWARY,12th Pass,"Business, Member of Bihar Legislative Assembly",100457036,10 Crore,1235103,12 Lakh,1
BULBUL KUMAR SAHNI,10th Pass,Business,15126284,1 Crore,3421445,34 Lakh,0
MADHUSUDAN SINGH,Graduate Professional,Teacher,2743000,27 Lakh,1000000,10 Lakh,1
ROHIT KUMAR,10th Pass,Business,210000,2 Lakh,0,0,0
RAJU KUMAR SINGH,Doctorate P.hD,Former Member of Bihar Legislative Assembly,125228846,12 Crore,1959020,19 Lakh,10
MIRA SINGH,Graduate Professional,Doctor and Agriculture,152073352,15 Crore,1460450,14 Lakh,5
DEVANAND RAUT,12th Pass,Non-Government Jobs,269020,2 Lakh,0,0,0
MADAN CHAUDHARY,12th Pass,Agriculture,40034902,4 Crore,902660,9 Lakh,0
VIKASH KUMAR,Others ITI,Social Worker & Labour,4381000,43 Lakh,0,0,0
SATYENDRA KUMAR,Post Graduate,Social Worker & Agriculture,15967000,1 Crore,696900,6 Lakh,1
SIMANT MRINAL,12th Pass,Social Work,11841512,1 Crore,697560,6 Lakh,1
PHOOLBABU SINGH,Post Graduate,Business & Agriculture,16491550,1 Crore,696210,6 Lakh,5
PRIYADARSHI PIYUSH,Post Graduate,Real State Business Property Dealer,2649250,26 Lakh,645951,6 Lakh,0
SAURABH SINGH YADAV,Post Graduate,Private Job,240000,2 Lakh,0,0,1
SAMRAT CHOUDHARY,Doctorate Doctor,Social Service,113482854,11 Crore,1791420,17 Lakh,2
AJAY PRASAD,Graduate,"Agriculture, Self Employed",14275000,1 Crore,487010,4 Lakh,2
NAYAN PRASAD,12th Pass,Agriculture,10050000,1 Crore,0,0,1
PINTU KUMAR SHARMA,Graduate B.A.,"Agriculture, Business",2843000,28 Lakh,0,0,0
FAISHAL RAHMAN,Illiterate Nil,Agriculture,2373050,23 Lakh,0,0,0
PADMA OJHA,Doctorate PhD,Rent of House,147494585,14 Crore,4998100,49 Lakh,0
SHANKAR KUMAR,10th Pass,Nil,60000,60 Thousand,0,0,3
SHIVNATH KUMAR PASWAN,Graduate BA,Agriculture and Social Service,7480300,74 Lakh,0,0,0
SANJAY KUMAR TIWARI URF MUNNA TIWARI,Graduate Graduation,"Agriculture, MLA Salary",163730414,16 Crore,622380,6 Lakh,5
BARUN DEO,Graduate Professional,,300000,3 Lakh,0,0,0
GANESH RAM,Post Graduate,Advocate,3079704,30 Lakh,0,0,1
SUNNY KUMAR SHARMA,Post Graduate,Journalist,153500,1 Lakh,0,0,0
GYANI KUMAR SHARMA,Post Graduate,Social Service,25000,25 Thousand,0,0,3
FAIZ AHMAD,Post Graduate,"Agriculture, Self Employed",16769397,1 Crore,926470,9 Lakh,1
NARESH PRASAD SINGH,Graduate B.Sc.,Retired Teacher,6226000,62 Lakh,660970,6 Lakh,0
AVINASH BHARTI,12th Pass,Business,9157900,91 Lakh,0,0,0
RAJESH KUMAR SINGH,Graduate,Social Worker & Agriculture,36383718,3 Crore,630300,6 Lakh,0
SURESH PRASAD SINGH,Post Graduate,Business,23465500,2 Crore,524090,5 Lakh,1
INDU DEVI,8th Pass,Labour,408683,4 Lakh,0,0,0
RAHUL KUMAR SINGH,Graduate Professional,Law Business,17673876,1 Crore,989830,9 Lakh,0
DASAI CHAUDHARY,Graduate,Petrol Pump & Bank Interest Income,15866394,1 Crore,645251,6 Lakh,0
PUSHPA KUMARI,Graduate,Singer and House Wife,5550000,55 Lakh,0,0,1
KUMAR HARI CHARAN SINGH YADAV,10th Pass,Agriculture & Labour,3170000,31 Lakh,0,0,0
RAJ KUMAR RAY,12th Pass,Agriculture and Politics,34509964,3 Crore,933460,9 Lakh,0
AMRESH KUMAR AMAR,12th Pass,Agriculture,7808500,78 Lakh,485530,4 Lakh,0
SUBHASH SINGH,12th Pass,Social Worker and Business,135838681,13 Crore,3836190,38 Lakh,2
CHANDAN LAL MEHTA,Post Graduate,Doctor,13700000,1 Crore,1186527,11 Lakh,4
RAJU KUMAR,12th Pass,Business,56623000,5 Crore,1312070,13 Lakh,4
DR SUNIL KUMAR,Graduate Professional,Business,175357083,17 Crore,2434308,24 Lakh,6
ARUN KUMAR SINGH,Post Graduate,Pensioner,11190042,1 Crore,555105,5 Lakh,0
RAMBRIKSH SADA,10th Pass,Agriculture,8557188,85 Lakh,529340,5 Lakh,3
ABDESH KUMAR RAI,12th Pass,"Social Service, MLA Pension",6477475,64 Lakh,0,0,6
MANMOHAN SINGH,12th Pass,Pensioner,9319971,93 Lakh,698230,6 Lakh,0
DR MD IFTEKHAR ALAM,Post Graduate,Medical Service,3555000,35 Lakh,620910,6 Lakh,0
VINAY KUMAR RAM,Graduate B.A.From,Agriculture,2185000,21 Lakh,497190,4 Lakh,0
NARENDRA KUMAR,Graduate,Business,3965000,39 Lakh,693780,6 Lakh,1
PRAMOD KUMAR RAM,12th Pass,Panchayat Samiti Baisad,5984000,59 Lakh,0,0,0
BHOGENDRA SAHNI,10th Pass,Agriculture & Business,7020460,70 Lakh,650170,6 Lakh,0
MADHU KRISHNAJI RAM,Post Graduate,Legal Business,120927,1 Lakh,5000,5 Thousand,0
MOHAMMAD ABDUL HAQUE,12th Pass,Business,250000,2 Lakh,0,0,0
AMITABH BACHCHAN,10th Pass,Contractor,4161061,41 Lakh,0,0,0
ABHI KUMAR,"Graduate Graduate,",Animal Husbandry,31000,31 Thousand,552395,5 Lakh,0
ASHISH RANJAN,12th Pass,Labour,670000,6 Lakh,0,0,0
SHAILENDRA PRATAP,Graduate B.Sc.,Consultancy and Agriculture,34787089,3 Crore,774130,7 Lakh,0
NAVIN KUMAR,Graduate Graduation,"Agriculture, Business",15566000,1 Crore,790000,7 Lakh,0
UMESH KUMAR RAJBHAR,Literate,Social Work and Labour,15000,15 Thousand,0,0,0
SANJAY KUMAR,Graduate B.Com,Educational Services,33902588,3 Crore,832510,8 Lakh,0
SATYENDRA KUMAR,12th Pass,Agriculture,18246390,1 Crore,494160,4 Lakh,3
BRAJ BIHARI BHATT,12th Pass,Agriculture,2519000,25 Lakh,0,0,0
SURENDRA KUMAR ALIAS SURENDRA VIVEK,10th Pass,"Social Service, Politics and Business",218081767,21 Crore,4060710,40 Lakh,0
AKHILESH KUMAR THAKUR,8th Pass,Professional Beauty Parlour,1520000,15 Lakh,0,0,0
LALAN KUMAR RAM,Post Graduate,Private Lecturer,1800000,18 Lakh,0,0,0
INDRASEN PRIYADARSHI,Graduate Professional,Social Work,5724654,57 Lakh,443700,4 Lakh,0
RAM SEWAK PASWAN,8th Pass,Lobour,0,0,0,0,0
ASHOK KUMAR SINGH,Post Graduate,Agriculture,8586000,85 Lakh,500000,5 Lakh,2
MD SAMIM ANSARI,Graduate Professional,Private Business,7230000,72 Lakh,0,0,0
MOHAN SHARMA,12th Pass,Business,1095000,10 Lakh,0,0,0
MADHAV BHAKTA,10th Pass,Agriculture,2689700,26 Lakh,0,0,0
SUSHANT,Post Graduate,Security Agency,3122077,31 Lakh,698740,6 Lakh,0
PAWAN KUMAR,12th Pass,Study,3115900,31 Lakh,0,0,0
JITENDRA PRASAD,10th Pass,Business,226000,2 Lakh,152030,1 Lakh,0
AMIT SAGAR,Others Diploma,Agriculture,32800000,3 Crore,496790,4 Lakh,2
AJAY KUMAR SAHANI,Literate,Part- Time Working & Brokerage,1525000,15 Lakh,500000,5 Lakh,1
SUNIL PASWAN,12th Pass,Business,1006500,10 Lakh,0,0,0
THAKUR HARI KISHORE SINGH,Post Graduate,Civil Contractor,9686000,96 Lakh,561300,5 Lakh,0
MD HASAN,Post Graduate,"Business, Agriculture",788000,7 Lakh,665880,6 Lakh,0
DEEPAK KUMAR VIDYARTHI,12th Pass,Social and Political Work,24000,24 Thousand,0,0,0
INDRAJEET PRASAD GUPTA,Post Graduate,Business & Social Service,346862677,34 Crore,1968710,19 Lakh,4
BILTU SAHNI,Post Graduate,Business,48557134,4 Crore,712580,7 Lakh,0
NAVIJAN ANSARI,Literate,NIL,846175,8 Lakh,0,0,0
RAVINA KUSHWAHA,Literate,House Wife and Social Service,18650000,1 Crore,0,0,0
JAGLAL RAJBHAR,Literate,Agriculture,1215000,12 Lakh,0,0,1
ADIL AFTAB KHAN,Graduate Professional,Business,3210400,32 Lakh,498500,4 Lakh,0
DEVENDRA KUMAR,Post Graduate,Politics and Agriculture,16200000,1 Crore,432600,4 Lakh,1
VIDYA NAND YADAV,Literate,Farming,10903000,1 Crore,0,0,0
SHATRUDHAN PASWAN,Literate,Agriculture & Public Representative,4654000,46 Lakh,692800,6 Lakh,4
NIRANJAN KUMAR ACHARY,12th Pass,Self Employed,100000,1 Lakh,0,0,0
MD JALALUDDIN SAHIL,12th Pass,Business,5183000,51 Lakh,498120,4 Lakh,3
MONAZIR HASSAN,Doctorate Ph.D.,"Social worker, Ex MP, Ex Minister, MLA",14051580,1 Crore,1402820,14 Lakh,0
AMAR KUMAR SINGH,Post Graduate,Agriculture,5891835,58 Lakh,0,0,1
MADHUBALA GIRI,Post Graduate,"Principal of Sunrise High School, Vishakhaptanm",24550517,2 Crore,700870,7 Lakh,0
DEO KUMAR CHAURASIA,Graduate Intermediate,Business and Social Work,655653017,65 Crore,992169,9 Lakh,0
ANAND KUMAR JHA,12th Pass,Teaching Work (Private),11940000,1 Crore,0,0,0
RAVINDRA KUMAR SINGH,Graduate Professional,"Business, Agriculture Farm, Poultry Farm",48585235,4 Crore,1316480,13 Lakh,3
DURGA PRASAD SINGH,Graduate Professional,Pensioner,7324758,73 Lakh,588110,5 Lakh,0
SANTHOSH RAI,Post Graduate,Pvt Job,1410000,14 Lakh,0,0,0
UMASHANKAR TIWARI,10th Pass,Agriculture,515500,5 Lakh,0,0,0
NEERAJ ROY,10th Pass,Business,0,0,1129290,11 Lakh,1
SANTOSH KUMAR SINGH,Graduate Professional,Business,2120000,21 Lakh,0,0,0
VIKRAMA GOND,Literate,Agriculture,2033805,20 Lakh,0,0,0
SHABANM KHATUN,Literate,Nil,560000,5 Lakh,0,0,0
DEVENDRA KUMAR PASWAN,Post Graduate,Social worker,2800000,28 Lakh,0,0,0
INTEKHAB AHMAD,Post Graduate,Social Work,1167893,11 Lakh,492540,4 Lakh,1
PASHUPATI NATH CHATURVEDI,Graduate Professional,Advocate,17469127,1 Crore,0,0,0
SANTOSH KUMAR NIRALA,Graduate Professional,Politician/Social Service,28896830,2 Crore,940920,9 Lakh,1
VIJAY KUMAR GUPTA,Post Graduate,Advocate,915163,9 Lakh,0,0,1
RAHUL KUMAR,12th Pass,NIL,49000,49 Thousand,0,0,0
SHYAM BHARTI,12th Pass,Politics,5567405,55 Lakh,0,0,16
ALI ABBAS,Literate,Labour,372200,3 Lakh,0,0,0
SAJAN KUMAR MISHRA,Graduate,Agriculture Work,25618521,2 Crore,0,0,0
AMAR SINGH,Post Graduate,Sales Promotion Work in a Private Company,11415918,1 Crore,683110,6 Lakh,0
ANIL SINGH,12th Pass,Social Worker,3255000,32 Lakh,0,0,0
AJEET KUMAR,12th Pass,Business,25951919,2 Crore,1785672,17 Lakh,1
AMLESH ROY,Graduate B.A.,Agriculture,2559000,25 Lakh,987030,9 Lakh,0
RAJESHWAR MANJHI,Literate,Labour & Social Work,1036200,10 Lakh,0,0,1
LALU PRASAD YADAV,12th Pass,Agriculture,1360000,13 Lakh,0,0,0
GORAKH RAM,Post Graduate,Business,6150081,61 Lakh,0,0,0
SATYANDRA YADAV,10th Pass,Social Worker,13260605,1 Crore,650216,6 Lakh,0
RUDAL MAHATO,8th Pass,Agriculture,4997000,49 Lakh,0,0,0
DHARAMVEER KUMAR,12th Pass,Business,5443914,54 Lakh,0,0,0
VINAY KUMAR VARUN,Graduate,Social Worker,11584000,1 Crore,0,0,1
KISHOR KUMAR,Graduate Professional,Social Worker & Agriculture,42014766,4 Crore,1288870,12 Lakh,2
PRAMILA JHA,10th Pass,House Wife and Social Service,15673000,1 Crore,0,0,0
NOORUDDIN ZANGI,Graduate Professional,Advocate,1220000,12 Lakh,250000,2 Lakh,1
MUKESH KUMAR SINGH,Graduate B.,Business,231623237,23 Crore,9856400,98 Lakh,0
RAJESH KUSHWAHA,12th Pass,Social Work,6349000,63 Lakh,0,0,0
KAJAL,Graduate B.A.,Social Work & Business,100179279,10 Crore,4065940,40 Lakh,0
KALINDRA KUMAR,12th Pass,Teaching Institute (I.T.I.),25051000,2 Crore,0,0,1
MOHAMMAD ANISUR RAHMAN,Graduate B.Sc.,Business,2800000,28 Lakh,682410,6 Lakh,2
VINAY KUMAR VERMA,10th Pass,Agriculture and Pvt. Job,73878320,7 Crore,0,0,3
PRADEEP KUMAR MISHRA,12th Pass,Social Service and Private Service,210000,2 Lakh,0,0,0
AMRENDRA KUMAR SINGH,Post Graduate,Agriculture & Doctor Practitioner,24450000,2 Crore,2820130,28 Lakh,0
ANAMIKA,Post Graduate,Social Politics Work,165926,1 Lakh,0,0,0
VIJAY SINGH,10th Pass,"Agriculture, Dairy, Pax Adhyaksh",3750000,37 Lakh,0,0,2
PANKAJ KUMAR JAISWAL,10th Pass,Agriculture,6718000,67 Lakh,0,0,0
TEJ NARAYAN SAHNI,Graduate,Agriculture,16600000,1 Crore,0,0,1
KANHAIYA LAL YADAV,Post Graduate,IDFC First Bank (Marketing Exetive),1313490,13 Lakh,0,0,0
DINESH KUMAR,12th Pass,"Farming, Rent from Commercial Building",87743785,8 Crore,683460,6 Lakh,0
TANUJA KUMARI,Graduate,Chairman - District Council Nalanda,199593600,19 Crore,718860,7 Lakh,8
RAKESH KUMAR,Graduate Professional,Business,143857012,14 Crore,1717940,17 Lakh,1
BIBHUTI SINGH,Graduate Graduation,Small Farmer,1934628,19 Lakh,0,0,0
CHANDRA PRAKASH SINGH,Graduate Professional,Business,165738237,16 Crore,488781,4 Lakh,0
SIDDHARTH PATEL,Graduate,Business and Social Worker,34718525,3 Crore,1055760,10 Lakh,0
GAUTAM KUMAR,Graduate Professional,Lawyer,1086367,10 Lakh,0,0,0
JAWAHIR PRASAD,Literate,Social Worker and Labour,165000,1 Lakh,0,0,0
MADAN YADAV,12th Pass,Agriculture,18910000,1 Crore,0,0,5
ANASH SALAM,12th Pass,Business & Agriculture,157345000,15 Crore,577750,5 Lakh,3
BABLU RISHIDEV,Literate,Lobour,221500,2 Lakh,0,0,0
VIJAY KUMAR CHOUBEY,Post Graduate,"Pr.CCA, M/o Home Affairs, Govt. of India (Retired)",20186018,2 Crore,1423860,14 Lakh,0
MD IFTEKHAR HUSSAIN,8th Pass,Labour,8382646,83 Lakh,0,0,0
RAKESH KUMAR,Graduate,Rural Doctor,4858700,48 Lakh,150000,1 Lakh,0
RAHUL KIRTI,12th Pass,Business & Developer and Social Service,104601794,10 Crore,880380,8 Lakh,0
AJAY KUMAR BULGANIN,10th Pass,"Agriculture, Pension From Bihar Legislative Assembly",10063274,1 Crore,457450,4 Lakh,1
ASHWINI KUMAR,Graduate Professional,Doctor,40105499,4 Crore,698430,6 Lakh,0
UMESH KUMAR VERMA,12th Pass,"Business, Rent From Commercial Buildings",23070000,2 Crore,709840,7 Lakh,0
DHARMENDRA KUMAR SHARMA,12th Pass,Business,1050000,10 Lakh,0,0,0
SUBODH KUMAR SUMAN,12th Pass,"Farmer, Business Man and Social Worker",7233849,72 Lakh,695460,6 Lakh,6
JAVAHIR SINGH,10th Pass,Farm Labour,130000,1 Lakh,65000,65 Thousand,0
NEEL KAMAL,Graduate B.Sc.,Labour,26500,26 Thousand,0,0,0
CHANDAN SHARMA,8th Pass,Carpenter,326744,3 Lakh,0,0,2
ROHIT KUMAR,Post Graduate,Social Worker,5881078,58 Lakh,455960,4 Lakh,3
MOHAN MAHATO,10th Pass,Business,4255000,42 Lakh,0,0,0
ALOK KUMAR SINGH,10th Pass,Business,226000,2 Lakh,0,0,0
RAJESH PASWAN,12th Pass,Cultivation and Private Tuition,1435255,14 Lakh,0,0,0
MRITUNJOY KUMAR SINGH,Graduate Professional,Advocate and Agriculture,11178661,1 Crore,150000,1 Lakh,0
PRABHASH CHANDRA SHARMA,Graduate Graduate-Hindi,Journalist & Private Teaching,4491880,44 Lakh,521270,5 Lakh,1
SHIV KUMAR SINGH,12th Pass,Agriculture,0,0,0,0,0
KRISHNA MISHRA,Graduate Sahitya,Agriculture & Labour,9190000,91 Lakh,0,0,0
SURENDRA RAM,Graduate B.A.,Agriculture,19167188,1 Crore,699450,6 Lakh,3
LATA SINGH,Graduate Professional,"Advocate and Legal Consultancy, Agriculture and Social Services",45762901,4 Crore,1890589,18 Lakh,0
GULSHAN KUMAR YADAV,Post Graduate,Business,8139616,81 Lakh,683770,6 Lakh,0
PRASHANT KUMAR PANKAJ,Graduate Professional,Self Employment,130735873,13 Crore,2223310,22 Lakh,0
ANJU DEVI,Literate,Nil,1080000,10 Lakh,0,0,0
CHANDRASHEKHAR RAI,10th Pass,Agriculture,5101800,51 Lakh,0,0,0
AMRENDRA KUMAR BHASKAR,Doctorate P.hd,Job,26037991,2 Crore,3583460,35 Lakh,0
MANJU KUMARI,10th Pass,"Sewing, Stitching",2014062,20 Lakh,0,0,0
SHRAVAN KUMAR,8th Pass,Business,0,0,696750,6 Lakh,3
VIKASH KUMAR ARYA,12th Pass,Social Political Worker,9007000,90 Lakh,0,0,0
SUNIL KUMAR RAY,Graduate Graduation,Agriculture,2014800,20 Lakh,0,0,0
RENU PASWAN,Graduate PGDM,NA,1207138,12 Lakh,0,0,0
PAWAN KUMAR,12th Pass,Pensioner,1976816,19 Lakh,0,0,2
RICHA SINHA,Post Graduate,Business,6645400,66 Lakh,352740,3 Lakh,0
RAJ KUMAR PASWAN,Others Mechanical,Social Service,45000,45 Thousand,498580,4 Lakh,0
AMIT KUMAR,Doctorate P.HD,Business,161699257,16 Crore,5567467,55 Lakh,12
RADHESHYAM SHARMA,10th Pass,Agriculture,9623500,96 Lakh,621450,6 Lakh,2
ANJALI ROY,Graduate Professional,Advocate,125000,1 Lakh,0,0,0
JAGAT PASWAN,10th Pass,Labour,715350,7 Lakh,0,0,0
PARMANAND PRASAD,12th Pass,Agriculture,9837000,98 Lakh,507210,5 Lakh,1
ASHOK PASWAN,Graduate B.A.,Agriculture,5850379,58 Lakh,0,0,0
BHARAT MANDAL,10th Pass,Agriculture,850000,8 Lakh,0,0,0
SATYA NARAYAN PASWAN,Literate,Nil,63000,63 Thousand,0,0,0
RAJ KUMAR,Graduate,Shopkeeper,6551125,65 Lakh,490650,4 Lakh,0
UMESH PRASAD SINGH,10th Pass,Social Worker and Agriculture,11496854,1 Crore,0,0,3
RANJANA KUMARI,12th Pass,"Business, Agriculture",228070207,22 Crore,697860,6 Lakh,1
KUMARI POONAM SINHA,Graduate B.A,Business,96363,96 Thousand,2195639,21 Lakh,0
MAHESH PASWAN,10th Pass,Business,666000,6 Lakh,0,0,0
BASANT KUMAR RAM,10th Pass,Agriculture,1010000,10 Lakh,0,0,0
RADHA RAMAN,12th Pass,"Agriculture, Chimni & Cow Farming",28163598,2 Crore,755150,7 Lakh,1
MADAN YADAV,10th Pass,Agriculture & Milk Business,3324000,33 Lakh,497500,4 Lakh,3
IRSHAD ALI,10th Pass,"Agriculture, Social Work",1597000,15 Lakh,0,0,0
NIRANJAN PRASAD,Graduate B.A.,Pensioner,2071000,20 Lakh,0,0,2
SUKHARI DAS,10th Pass,Business,1174482,11 Lakh,587680,5 Lakh,0
RAJIV RANJAN RAJ,Graduate Professional,Advocate & Agriculture,45836220,4 Crore,1437590,14 Lakh,0
SANTOSH SAHANI,8th Pass,Business,41559098,4 Crore,1425710,14 Lakh,0
TATHAGAT HARSH VARDHAN,Post Graduate,Advocate,132285096,13 Crore,32864500,3 Crore,0
MUMTAZ ALI,Graduate Professional,Education Consultant,582233,5 Lakh,621680,6 Lakh,0
MANJARIK MRINAL,Doctorate Ph.D,Engineer Scientist,33028965,3 Crore,961480,9 Lakh,0
KUMAR GAURAW BUNTY,Post Graduate,"Social Worker, Business, Agriculture",7196000,71 Lakh,695470,6 Lakh,2
SUNITA SHARMA,Literate,Agriculture,12175000,1 Crore,0,0,1
MANOJ RAM,8th Pass,"Agriculture, Business",12413000,1 Crore,0,0,1
UMESH KUMAR RAJAK,Post Graduate,Agriculture & Doctor,4369000,43 Lakh,1519670,15 Lakh,0
DEVNARAYAN YADAV,Literate,Agriculture,6283000,62 Lakh,0,0,0
UMESH SAHANI,Post Graduate,Business,178263778,17 Crore,762360,7 Lakh,0
AHMAD HUSSAIN ANSARI,Post Graduate,"Agriculture, Pension",19419400,1 Crore,737630,7 Lakh,0
VIPIN KUMAR,12th Pass,Pvt. Teacher,16181564,1 Crore,1818690,18 Lakh,0
KUSHO MAHTO,10th Pass,Vice Sarpanch,0,0,0,0,0
RAM BALAK PASWAN,10th Pass,"Agriculture, Social Worker, Deputy Mayor Samastipur",3536512,35 Lakh,0,0,0
SHARVAN KUMAR ANAND,Post Graduate,Labour,206000,2 Lakh,0,0,0
PARMOD SADA,12th Pass,Agriculture,225000,2 Lakh,0,0,1
IRSHAD AHMAD,Graduate Professional,Advocate,300000,3 Lakh,0,0,1
