Name,Education,Profession,Net_Worth,Networth Unit,Income,Income Unit,Criminal_Cases
AJAY KUMAR,Post Graduate,"Agriculture, Politics (MLA)",19712357,1 Crore,631870,6 Lakh,3
KARISHMA,Post Graduate,Dental Doctor,45299309,4 Crore,652400,6 Lakh,0
UPENDRA PRASAD ROY,Post Graduate,Retirement from the Indian Army,17210000,1 Crore,471240,4 Lakh,0
DASHRATH RAM,5th Pass,Agriculture,1108000,11 Lakh,0,0,1
AMIT KUMAR SINGH,Graduate B.A.,Agriculture and Other,1532150,15 Lakh,381970,3 Lakh,0
JITENDRA KUMAR RAI,Graduate,Agriculture,28172450,2 Crore,972220,9 Lakh,5
RAVI RANJAN TISU,Graduate,Agriculture,8700000,87 Lakh,0,0,0
VIJAY KUMAR,Graduate Professional,Agriculture,3630002,36 Lakh,0,0,0
DR RAMANUJ PRASAD,"Doctorate P.hD,",Business & Agriculture,16947199,1 Crore,826371,8 Lakh,2
AMARESH KUMAR,5th Pass,"Social work, Business, Agriculture and Cow Rearing",43522746,4 Crore,1012630,10 Lakh,0
RAKESH KUMAR RAUSHAN,Post Graduate,Salary & Allowances From Member of Bihar Legislative Assembly,40682022,4 Crore,965290,9 Lakh,1
PREMA CHAUDHARY,Graduate,Agriculture,139489858,13 Crore,1222820,12 Lakh,0
AKHTARUL ISLAM SHAHIN,12th Pass,Income Received from a Member of the Bihar Legislative Assembly,19232353,1 Crore,483740,4 Lakh,4
AMIT KUMAR BAITHA,Graduate Professional,Business & Politics,3655000,36 Lakh,0,0,2
AMARJEET KUSHWAHA,Graduate BA,"Agriculture, Politics",6047934,60 Lakh,0,0,18
OSAMA SHAHAB,10th Pass,Social Worker,80251612,8 Crore,1816450,18 Lakh,2
ANWARUL HAQUE,Graduate Graduation,Agriculture & Business,166332141,16 Crore,965839,9 Lakh,3
ASHOK KUMAR SINGH,Graduate B.A.,Social Service & Business,212843071,21 Crore,4438010,44 Lakh,4
PRITHWINATH RAY,12th Pass,Agriculture and Social Work,12857714,1 Crore,685610,6 Lakh,4
ATIREK KUMAR,Graduate B.A.,Business & Social Work,22352627,2 Crore,1389900,13 Lakh,0
ARUN KUMAR,Graduate Professional,Business,3605000,36 Lakh,612310,6 Lakh,0
NAGESHWAR DAS,10th Pass,Mukhiya,4571000,45 Lakh,0,0,2
NIRA DEVI,12th Pass,Labour,455153,4 Lakh,0,0,0
DR RAMANAND YADAV,Doctorate PH.D,Pensioner,149589179,14 Crore,3038090,30 Lakh,2
AJABLAL MEHTA,12th Pass,Agriculture,1293000,12 Lakh,0,0,0
ANKIT KUMAR MISHRA,Graduate Graduation,Agriculture and Business,2329000,23 Lakh,0,0,0
